"בוצע בהופעה ""Live קיסריה 2022""","בוצע בהופעה ""מנורה 2023""",צפיות ביוטיוב,האם סינגל
1.0,0.5,,1.0
0.0,0.0,,0.0
0.0,0.0,,1.0
0.0,0.0,,1.0
1.0,0.5,833000.0,1.0
0.0,0.5,41000000.0,1.0
1.0,0.5,29000000.0,1.0
0.0,0.0,,1.0
0.0,0.0,,1.0
1.0,0.0,,0.0
0.0,0.0,,1.0
1.0,0.5,9000000.0,1.0
0.0,0.0,,1.0
0.0,0.0,,1.0
0.0,0.5,,1.0
1.0,0.5,,1.0
0.0,0.0,,0.0
0.0,0.0,,1.0
0.0,0.0,,1.0
1.0,0.0,,1.0
1.0,0.5,36000000.0,1.0
0.0,0.0,,1.0
0.0,0.0,,1.0
0.0,0.5,,1.0
1.0,0.5,18000000.0,1.0
0.0,0.0,,0.0
0.0,0.5,18000000.0,1.0
0.0,0.0,,1.0
1.0,0.5,32000000.0,1.0
0.0,0.0,,1.0
1.0,0.5,28000000.0,1.0
0.0,0.0,,1.0
1.0,0.5,15000000.0,1.0
0.0,0.0,17000000.0,1.0
0.0,1.0,21000000.0,1.0
0.0,0.0,,1.0
1.0,0.5,32000000.0,1.0
0.0,0.0,,0.0
0.0,0.0,,1.0
1.0,0.5,,1.0
0.0,0.0,,1.0
0.0,0.0,,1.0
1.0,0.5,,1.0
0.0,0.0,15000000.0,1.0
0.0,0.0,,1.0
