שם השיר,אלבום,"בוצע בהופעה ""Live קיסריה 2022""","בוצע בהופעה ""מנורה 2023""","בוצע ב""מופע העשור 2024""",תאריך הוצאה,צפיות ביוטיוב,זרמים בספוטיפיי,מיקום במצעדים,ז'אנר,האם סינגל,שיתופי פעולה
מנגינה,מלכת השושנים,1.0,0.5,0.5,2015-09-03,18000000.0,,4.0,ים תיכוני/פופ,1.0,אין
שיכורים מאהבה,מלכת השושנים,1.0,0.5,0.5,2015-08-09,9000000.0,,3.0,ים תיכוני/פופ,1.0,אין
מלכת השושנים,מלכת השושנים,0.0,0.5,0.5,2015-05-01,41000000.0,,4.0,ים תיכוני/פופ,1.0,אין
פיסה מזכרוני,מלכת השושנים,0.0,0.0,0.0,2015-09-03,,,1.0,ים תיכוני/פופ,0.0,אין
אלבינה,מלכת השושנים,0.0,0.0,0.0,2015-09-03,,,,ים תיכוני/פופ,0.0,אין
שורף לי בעיניים,מלכת השושנים,0.0,0.0,0.0,2015-09-03,,,,ים תיכוני/פופ,1.0,אין
תאמין לי,תאמין לי,0.0,0.5,0.5,2016-06-01,18000000.0,,4.0,פופ,1.0,אין
תזיזו,תאמין לי,1.0,0.5,0.5,2016-08-01,15000000.0,,3.0,פופ,1.0,אין
אף אחד,תאמין לי,1.0,0.5,0.5,2016-09-04,,,33.0,פופ,1.0,אין
כל העיר שלנו,תאמין לי,0.0,0.0,0.0,2016-06-01,15000000.0,,8.0,פופ,1.0,פאר טסי
ג'נטלמן,תאמין לי,1.0,0.0,0.0,2016-09-04,,,,פופ,0.0,אין
בחור מזהב,תאמין לי,0.0,0.0,0.0,2016-09-04,,,,פופ,0.0,אין
כשאתפרק,תאמין לי,0.0,0.0,0.0,2016-09-04,,,,פופ,0.0,אין
אין לי אותך,תאמין לי,0.0,0.0,0.0,2016-09-04,,,,בלדה,1.0,אין
הייתי חוזרת,תאמין לי,0.0,0.0,0.0,2016-11-01,,,,בלדה,1.0,אין
לזאת שניצחה,לזאת שניצחה,1.0,0.5,0.5,2017-09-07,36000000.0,,,פופ,1.0,אין
רציתי,לזאת שניצחה,1.0,0.5,0.5,2017-06-13,28000000.0,,2.0,בלדה,1.0,אין
כולם באילת,לזאת שניצחה,0.0,0.0,0.0,2017-08-02,17000000.0,,25.0,פופ,1.0,אין
צועקת,לזאת שניצחה,0.0,0.0,0.0,2017-09-07,,,,פופ,1.0,אין
תל אביב בלילה,חיים שלי,0.0,0.5,0.5,2018-01-01,,,,פופ,1.0,אין
בא לי לחבק אותך,חיים שלי,0.0,0.0,0.0,2018-04-01,,,,בלדה,1.0,אין
חיים שלי,חיים שלי,1.0,0.5,0.5,2019-04-14,56000000.0,,1.0,בלדה,1.0,אין
תרקדו,חיים שלי,1.0,0.5,0.5,2019-04-14,,,,פופ,1.0,אין
חצי מדינה,חיים שלי,0.0,0.0,0.0,2019-04-14,,,,פופ,1.0,אין
Fresh,חיים שלי,0.0,0.0,0.0,2019-04-14,,,,פופ,1.0,אין
יאסו,חיים שלי,1.0,0.5,0.5,2019-01-01,29000000.0,,1.0,פופ,1.0,סטטיק ובן-אל תבורי וסטפן לגר
תגיד לי Je t'aime,חיים שלי,0.0,0.0,0.0,2019-04-14,,,1.0,פופ,1.0,אין
חמסה,אין אלבום,0.0,1.0,1.0,2018-08-01,21000000.0,,1.0,פופ/ים תיכוני,1.0,אתניX
כשתבוא,מועבט,0.0,0.0,0.0,2020-03-17,,,,בלדה,1.0,אין
אגרוף,מועבט,1.0,0.5,0.5,2020-12-01,32000000.0,,1.0,פופ/היפ הופ,1.0,איתי גלו
מועבט,מועבט,1.0,0.5,0.5,2021-05-05,32000000.0,,1.0,פופ/היפ הופ,1.0,איתי גלו
קוקוריקו,מועבט,1.0,0.5,0.5,2020-07-02,18000000.0,,2.0,פופ,1.0,עומר אדם
אנא מג'נונה,מועבט,1.0,0.5,0.5,2020-09-10,13000000.0,,,פופ,1.0,אין
ברחובות של תל אביב,מועבט,1.0,0.5,0.5,2021-06-07,833000.0,,,פופ,1.0,אין
חיים מאושרים,מועבט,0.0,0.0,0.0,2020-11-08,,,,פופ,1.0,נתן גושן
מתגעגעת אותך,מועבט,0.0,0.0,0.0,2020-12-01,,,1.0,בלדה,1.0,עידן רייכל
ניסיתי,עם או בלי לאהוב,1.0,0.5,0.5,2022-05-30,,,,בלדה,1.0,אין
מה קרה?,עם או בלי לאהוב,1.0,0.5,0.5,2021-12-31,,,,פופ,1.0,אין
איך אתה הולך,עם או בלי לאהוב,1.0,0.0,0.0,2021-08-01,,,,בלדה,1.0,אין
WTF,עם או בלי לאהוב,1.0,0.5,0.5,2021-10-01,,,,פופ,1.0,אין
ריגוש זמני,7,0.0,0.5,0.5,2023-01-27,,,,פופ,1.0,אין
דם שלי,דם שלי,0.0,0.0,1.0,2024-03-12,,,,פופ,1.0,אין
חיפשתי אותו בנרות,דם שלי,0.0,0.0,1.0,2023-12-01,,,1.0,פופ,1.0,אין
שונה מהנוף,אין אלבום,0.0,0.0,0.0,2019-07-04,,,,פופ,1.0,עדן חסון
