בוצע בהופעה "Live קיסריה 2022",בוצע בהופעה "מנורה 2023",צפיות ביוטיוב,האם סינגל,שם השיר
1.0,0.5,18000000.0,1.0,מנגינה
1.0,0.5,9000000.0,1.0,שיכורים מאהבה
0.0,0.5,41000000.0,1.0,מלכת השושנים
0.0,0.5,18000000.0,1.0,תאמין לי
1.0,0.5,15000000.0,1.0,תזיזו
0.0,0.0,15000000.0,1.0,כל העיר שלנו
1.0,0.5,36000000.0,1.0,לזאת שניצחה
1.0,0.5,28000000.0,1.0,רציתי
0.0,0.0,17000000.0,1.0,כולם באילת
1.0,0.5,56000000.0,1.0,חיים שלי
1.0,0.5,29000000.0,1.0,יאסו
1.0,0.5,32000000.0,1.0,אגרוף
1.0,0.5,32000000.0,1.0,מועבט
1.0,0.5,18000000.0,1.0,קוקוריקו
1.0,0.5,13000000.0,1.0,אנא מג'נונה
1.0,0.5,833000.0,1.0,ברחובות של תל אביב
